"","year","species","odd_even","total.systems","no.counted","prop.counted"
"247",1980,"Chinook",NA,1,0,0
"248",1981,"Chinook",NA,1,0,0
"249",1982,"Chinook",NA,1,0,0
"250",1983,"Chinook",NA,1,0,0
"251",1984,"Chinook",NA,1,0,0
"252",1985,"Chinook",NA,1,0,0
"253",1986,"Chinook",NA,1,0,0
"254",1987,"Chinook",NA,1,0,0
"255",1988,"Chinook",NA,1,0,0
"256",1989,"Chinook",NA,1,0,0
"257",1990,"Chinook",NA,1,0,0
"258",1991,"Chinook",NA,1,0,0
"259",1992,"Chinook",NA,1,0,0
"260",1993,"Chinook",NA,1,0,0
"261",1994,"Chinook",NA,1,0,0
"262",1995,"Chinook",NA,1,0,0
"263",1996,"Chinook",NA,1,0,0
"264",1997,"Chinook",NA,1,1,1
"265",1998,"Chinook",NA,1,1,1
"266",1999,"Chinook",NA,1,0,0
"267",2000,"Chinook",NA,1,0,0
"268",2001,"Chinook",NA,1,0,0
"269",2002,"Chinook",NA,1,0,0
"270",2003,"Chinook",NA,1,0,0
"271",2004,"Chinook",NA,1,0,0
"272",2005,"Chinook",NA,1,0,0
"273",2006,"Chinook",NA,1,0,0
"274",2007,"Chinook",NA,1,0,0
"275",2008,"Chinook",NA,1,0,0
"276",2009,"Chinook",NA,1,0,0
"277",2010,"Chinook",NA,1,0,0
"278",2011,"Chinook",NA,1,0,0
"279",2012,"Chinook",NA,1,0,0
"280",2013,"Chinook",NA,1,0,0
"281",2014,"Chinook",NA,1,0,0
"282",2015,"Chinook",NA,1,0,0
"283",2016,"Chinook",NA,1,0,0
"284",2017,"Chinook",NA,1,0,0
"285",2018,"Chinook",NA,1,0,0
"286",2019,"Chinook",NA,1,0,0
"287",2020,"Chinook",NA,1,0,0
"288",2021,"Chinook",NA,1,0,0
"289",1950,"Sockeye",NA,1,0,0
"290",1951,"Sockeye",NA,1,0,0
"291",1952,"Sockeye",NA,1,0,0
"292",1953,"Sockeye",NA,1,0,0
"293",1954,"Sockeye",NA,1,0,0
"294",1955,"Sockeye",NA,1,0,0
"295",1956,"Sockeye",NA,1,0,0
"296",1957,"Sockeye",NA,1,0,0
"297",1958,"Sockeye",NA,1,0,0
"298",1959,"Sockeye",NA,1,0,0
"299",1960,"Sockeye",NA,1,0,0
"300",1961,"Sockeye",NA,1,0,0
"301",1962,"Sockeye",NA,1,0,0
"302",1963,"Sockeye",NA,1,0,0
"303",1964,"Sockeye",NA,1,0,0
"304",1965,"Sockeye",NA,1,0,0
"305",1966,"Sockeye",NA,1,0,0
"306",1967,"Sockeye",NA,1,0,0
"307",1968,"Sockeye",NA,1,0,0
"308",1969,"Sockeye",NA,1,0,0
"309",1970,"Sockeye",NA,1,0,0
"310",1971,"Sockeye",NA,1,0,0
"311",1972,"Sockeye",NA,1,0,0
"312",1973,"Sockeye",NA,1,0,0
"313",1974,"Sockeye",NA,1,0,0
"314",1975,"Sockeye",NA,1,0,0
"315",1976,"Sockeye",NA,1,0,0
"316",1977,"Sockeye",NA,1,0,0
"317",1978,"Sockeye",NA,1,0,0
"318",1979,"Sockeye",NA,1,0,0
"319",1980,"Sockeye",NA,1,0,0
"320",1981,"Sockeye",NA,1,0,0
"321",1982,"Sockeye",NA,1,0,0
"322",1983,"Sockeye",NA,1,0,0
"323",1984,"Sockeye",NA,1,0,0
"324",1985,"Sockeye",NA,1,0,0
"325",1986,"Sockeye",NA,1,0,0
"326",1987,"Sockeye",NA,1,0,0
"327",1988,"Sockeye",NA,1,0,0
"328",1989,"Sockeye",NA,1,0,0
"329",1990,"Sockeye",NA,1,0,0
"330",1991,"Sockeye",NA,1,0,0
"331",1992,"Sockeye",NA,1,0,0
"332",1993,"Sockeye",NA,1,0,0
"333",1994,"Sockeye",NA,1,0,0
"334",1995,"Sockeye",NA,1,0,0
"335",1996,"Sockeye",NA,1,0,0
"336",1997,"Sockeye",NA,1,1,1
"337",1998,"Sockeye",NA,1,1,1
"338",1999,"Sockeye",NA,1,1,1
"339",2000,"Sockeye",NA,1,0,0
"340",2001,"Sockeye",NA,1,0,0
"341",2002,"Sockeye",NA,1,0,0
"342",2003,"Sockeye",NA,1,0,0
"343",2004,"Sockeye",NA,1,0,0
"344",2005,"Sockeye",NA,1,0,0
"345",2006,"Sockeye",NA,1,0,0
"346",2007,"Sockeye",NA,1,0,0
"347",2008,"Sockeye",NA,1,0,0
"348",2009,"Sockeye",NA,1,0,0
"349",2010,"Sockeye",NA,1,0,0
"350",2011,"Sockeye",NA,1,0,0
"351",2012,"Sockeye",NA,1,0,0
"352",2013,"Sockeye",NA,1,0,0
"353",2014,"Sockeye",NA,1,0,0
"354",2015,"Sockeye",NA,1,0,0
"355",2016,"Sockeye",NA,1,0,0
"356",2017,"Sockeye",NA,1,0,0
"357",2018,"Sockeye",NA,1,0,0
"358",2019,"Sockeye",NA,1,0,0
"359",2020,"Sockeye",NA,1,0,0
"360",2021,"Sockeye",NA,1,0,0
"361",1950,"all",NA,1,0,0
"362",1951,"all",NA,1,0,0
"363",1952,"all",NA,1,0,0
"364",1953,"all",NA,1,0,0
"365",1954,"all",NA,1,0,0
"366",1955,"all",NA,1,0,0
"367",1956,"all",NA,1,0,0
"368",1957,"all",NA,1,0,0
"369",1958,"all",NA,1,0,0
"370",1959,"all",NA,1,0,0
"371",1960,"all",NA,1,0,0
"372",1961,"all",NA,1,0,0
"373",1962,"all",NA,1,0,0
"374",1963,"all",NA,1,0,0
"375",1964,"all",NA,1,0,0
"376",1965,"all",NA,1,0,0
"377",1966,"all",NA,1,0,0
"378",1967,"all",NA,1,0,0
"379",1968,"all",NA,1,0,0
"380",1969,"all",NA,1,0,0
"381",1970,"all",NA,1,0,0
"382",1971,"all",NA,1,0,0
"383",1972,"all",NA,1,0,0
"384",1973,"all",NA,1,0,0
"385",1974,"all",NA,1,0,0
"386",1975,"all",NA,1,0,0
"387",1976,"all",NA,1,0,0
"388",1977,"all",NA,1,0,0
"389",1978,"all",NA,1,0,0
"390",1979,"all",NA,1,0,0
"391",1980,"all",NA,1,0,0
"392",1981,"all",NA,1,0,0
"393",1982,"all",NA,1,0,0
"394",1983,"all",NA,1,0,0
"395",1984,"all",NA,1,0,0
"396",1985,"all",NA,1,0,0
"397",1986,"all",NA,1,0,0
"398",1987,"all",NA,1,0,0
"399",1988,"all",NA,1,0,0
"400",1989,"all",NA,1,0,0
"401",1990,"all",NA,1,0,0
"402",1991,"all",NA,1,0,0
"403",1992,"all",NA,1,0,0
"404",1993,"all",NA,1,0,0
"405",1994,"all",NA,1,0,0
"406",1995,"all",NA,1,0,0
"407",1996,"all",NA,1,0,0
"408",1997,"all",NA,1,1,1
"409",1998,"all",NA,1,1,1
"410",1999,"all",NA,1,1,1
"411",2000,"all",NA,1,0,0
"412",2001,"all",NA,1,0,0
"413",2002,"all",NA,1,0,0
"414",2003,"all",NA,1,0,0
"415",2004,"all",NA,1,0,0
"416",2005,"all",NA,1,0,0
"417",2006,"all",NA,1,0,0
"418",2007,"all",NA,1,0,0
"419",2008,"all",NA,1,0,0
"420",2009,"all",NA,1,0,0
"421",2010,"all",NA,1,0,0
"422",2011,"all",NA,1,0,0
"423",2012,"all",NA,1,0,0
"424",2013,"all",NA,1,0,0
"425",2014,"all",NA,1,0,0
"426",2015,"all",NA,1,0,0
"427",2016,"all",NA,1,0,0
"428",2017,"all",NA,1,0,0
"429",2018,"all",NA,1,0,0
"430",2019,"all",NA,1,0,0
"431",2020,"all",NA,1,0,0
"432",2021,"all",NA,1,0,0
