"","POPULATION","CU_NAME","FULL_CU_IN","POP_ID","SPECIES_QUALIFIED","SPECIES","AREA","FAZ","MAZ","QUALITY","weight","nYears","CU_findex","PSE_region"
"CK290","Albreda River (Clearwater) Chinook Run 1","NORTH THOMPSON_SP_1.3","CK-18",290,"CK","Chinook","29J","NTh","GStr",7,0.119202922022118,1,NA,"Fraser"
"CK294","Alouette River (Coquitlam) Chinook Run 1","FRASER-CROSS-CU SUPPLEMENTATION EXCLUSION<<BIN>>","CK-9006",294,"CK","Chinook","29C","LFR","GStr",1,0.982013790037908,2,NA,NA
"CK3042","Shilahou Creek (Smithers) Chinook","MIDDLE SKEENA-MAINSTEM TRIBUTARIES","CK-54",3042,"CK","Chinook","4D","USK","NSKEst",3.2,0.880797077977882,5,NA,"Skeena"
"CK3075","Ice Creek Chinook","UPPER FRASER RIVER_SP_1.3","CK-12",3075,"CK","Chinook","29I","UFR","GStr",4,0.731058578630005,17,NA,"Fraser"
"CK3187","Borrowman Creek Chinook","NORTH & CENTRAL COAST-EARLY TIMING","CK-42",3187,"CK","Chinook","6","HecLow","HStr",4,0.731058578630005,1,NA,"Central Coast"
"CK3246","Dog Tag Creek Chinook","LOWER SKEENA","CK-48",3246,"CK","Chinook","4B","LSK","NSKEst",5,0.5,19,NA,"Skeena"
"CK3247","Fulton River Chinook","MIDDLE SKEENA-LARGE LAKES","CK-53",3247,"CK","Chinook","4D","MSK","NSKEst",3.375,0.952574126822433,10,NA,"Skeena"
"CK3248","Pinkut Creek Chinook","MIDDLE SKEENA-LARGE LAKES","CK-53",3248,"CK","Chinook","4D","MSK","NSKEst",4,0.731058578630005,1,NA,"Skeena"
"CK3255","Babine River (section 1-3) Chinook","MIDDLE SKEENA-LARGE LAKES","CK-53",3255,"CK","Chinook","4D","MSK","NSKEst",4,0.731058578630005,1,NA,"Skeena"
"CK3306","Somass System Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",3306,"CK","Chinook","23","WVI","WVI",1,0.982013790037908,23,NA,"Vancouver Island & Mainland Inlets"
"CK3333","Nanaimo River Spring Chinook","EAST VANCOUVER ISLAND-NANAIMO_SP_1.x","CK-23",3333,"CK","Chinook","17","EVI","GStr",4.88888888888889,0.5,24,NA,"Vancouver Island & Mainland Inlets"
"CK3336","Yukon River Chinook","NORTHERN YUKON RIVER AND TRIBUTARIES","CK-76",3336,"CK","Chinook","110","RR","Ber",2,0.952574126822433,5,NA,"Yukon"
"CK3338","Alsek River Chinook","ALSEK","CK-67",3338,"CK","Chinook","130","Alsek","AKCst",2,0.952574126822433,9,NA,"Transboundary"
"CK3340","Taku River Chinook","TAKU-LATE TIMING","CK-65",3340,"CK","Chinook","130","Taku","TBFj",2,0.952574126822433,6,NA,"Transboundary"
"CK3341","Stikine River Chinook","STIKINE-LATE TIMING","CK-61",3341,"CK","Chinook","120","LStk","TBFj",2,0.952574126822433,23,NA,"Transboundary"
"CK39538","Little Toquart Creek Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",39538,"CK","Chinook","23","WVI","WVI",6,0.119202922022118,2,NA,"Vancouver Island & Mainland Inlets"
"CK39548","Maggie River Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",39548,"CK","Chinook","23","WVI","WVI",5,0.119202922022118,3,NA,"Vancouver Island & Mainland Inlets"
"CK39578","Twin Rivers West Creek (Port Alberni) Chinook Run 1","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",39578,"CK","Chinook","23","WVI","WVI",7,0.119202922022118,1,NA,"Vancouver Island & Mainland Inlets"
"CK39588","Itatsoo Creek (Port Alberni) Chinook Run 1","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",39588,"CK","Chinook","23","WVI","WVI",7,0.119202922022118,1,NA,"Vancouver Island & Mainland Inlets"
"CK39608","Mercantile Creek Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",39608,"CK","Chinook","23","WVI","WVI",5.25,0.119202922022118,18,NA,"Vancouver Island & Mainland Inlets"
"CK39618","Jansen Lake Creek (Kyuquot) Chinook Run 1","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",39618,"CK","Chinook","26","WVI","WVI",7,0.119202922022118,1,NA,"Vancouver Island & Mainland Inlets"
"CK39628","Chamiss Creek (Kyuquot) Chinook Run 1","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",39628,"CK","Chinook","26","WVI","WVI",5,0.119202922022118,10,NA,"Vancouver Island & Mainland Inlets"
"CK39648","Mckay Cove Creek Chinook","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",39648,"CK","Chinook","26","WVI","WVI",7,0.119202922022118,15,NA,"Vancouver Island & Mainland Inlets"
"CK39658","Clanninick Creek (Kyuquot) Chinook Run 1","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",39658,"CK","Chinook","26","WVI","WVI",7,0.119202922022118,9,NA,"Vancouver Island & Mainland Inlets"
"CK39668","Malksope River Chinook","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",39668,"CK","Chinook","26","WVI","WVI",4.21428571428571,0.119202922022118,37,NA,"Vancouver Island & Mainland Inlets"
"CK39678","Ououkinsh River Chinook","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",39678,"CK","Chinook","26","WVI","WVI",5,0.119202922022118,26,NA,"Vancouver Island & Mainland Inlets"
"CK39688","Power River Chinook","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",39688,"CK","Chinook","26","WVI","WVI",7,0.119202922022118,32,NA,"Vancouver Island & Mainland Inlets"
"CK39698","Battle Bay River (Kyuquot) Chinook Run 1","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",39698,"CK","Chinook","26","WVI","WVI",7,0.119202922022118,14,NA,"Vancouver Island & Mainland Inlets"
"CK39708","Nasparti River (Kyuquot) Chinook Run 1","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",39708,"CK","Chinook","26","WVI","WVI",7,0.119202922022118,9,NA,"Vancouver Island & Mainland Inlets"
"CK39738","East Creek (Quatsino Sound) Chinook Run 1","WEST VANCOUVER ISLAND-NORTH_FA_0.x","CK-33",39738,"CK","Chinook","27","WVI","WQCI",4,0.119202922022118,29,NA,"Vancouver Island & Mainland Inlets"
"CK39748","Klaskish River (Quatsino Sound) Chinook Run 1","WEST VANCOUVER ISLAND-NORTH_FA_0.x","CK-33",39748,"CK","Chinook","27","WVI","WQCI",7,0.119202922022118,28,NA,"Vancouver Island & Mainland Inlets"
"CK39778","Keith River (Quatsino Sound) Chinook Run 1","WEST VANCOUVER ISLAND-NORTH_FA_0.x","CK-33",39778,"CK","Chinook","27","WVI","WQCI",6,0.119202922022118,2,NA,"Vancouver Island & Mainland Inlets"
"CK39808","Mahatta Creek (Quatsino Sound) Chinook Run 1","WEST VANCOUVER ISLAND-NORTH_FA_0.x","CK-33",39808,"CK","Chinook","27","WVI","WQCI",6,0.119202922022118,7,NA,"Vancouver Island & Mainland Inlets"
"CK39848","Klootchlimmis Creek (Quatsino Sound) Chinook Run 1","WEST VANCOUVER ISLAND-NORTH_FA_0.x","CK-33",39848,"CK","Chinook","27","WVI","WQCI",6.5,0.119202922022118,3,NA,"Vancouver Island & Mainland Inlets"
"CK39908","Cayeghle Creek Chinook","WEST VANCOUVER ISLAND-NORTH_FA_0.x","CK-33",39908,"CK","Chinook","27","WVI","WQCI",3.625,0.119202922022118,31,NA,"Vancouver Island & Mainland Inlets"
"CK39918","Colonial Creek Chinook","WEST VANCOUVER ISLAND-NORTH_FA_0.x","CK-33",39918,"CK","Chinook","27","WVI","WQCI",3.4,0.119202922022118,20,NA,"Vancouver Island & Mainland Inlets"
"CK39928","Utluh Creek (Quatsino Sound) Chinook Run 1","WEST VANCOUVER ISLAND-NORTH_FA_0.x","CK-33",39928,"CK","Chinook","27","WVI","WQCI",7,0.119202922022118,2,NA,"Vancouver Island & Mainland Inlets"
"CK39958","Marble River Chinook","WEST VANCOUVER ISLAND-NORTH_FA_0.x","CK-33",39958,"CK","Chinook","27","WVI","WQCI",4.40909090909091,0.5,26,NA,"Vancouver Island & Mainland Inlets"
"CK39984","Chemainus River Fall Chinook","EAST VANCOUVER ISLAND-NANAIMO & CHEMAINUS_FA_0.x","CK-25",39984,"CK","Chinook","17","EVI","GStr",4.78571428571429,0.119202922022118,31,NA,"Vancouver Island & Mainland Inlets"
"CK40023","Cowichan River Chinook","EAST VANCOUVER ISLAND-COWICHAN & KOKSILAH_FA_0.x","CK-22",40023,"CK","Chinook","18","EVI","GStr",2,0.952574126822433,2,NA,"Vancouver Island & Mainland Inlets"
"CK40024","Cowichan River Fall Chinook","EAST VANCOUVER ISLAND-COWICHAN & KOKSILAH_FA_0.x","CK-22",40024,"CK","Chinook","18","EVI","GStr",1.71428571428571,0.982013790037908,32,NA,"Vancouver Island & Mainland Inlets"
"CK40033","Koksilah River Chinook","EAST VANCOUVER ISLAND-COWICHAN & KOKSILAH_FA_0.x","CK-22",40033,"CK","Chinook","18","EVI","GStr",4,0.119202922022118,41,NA,"Vancouver Island & Mainland Inlets"
"CK40043","Shawnigan Creek Chinook Run 1","SOUTH-MISCELLANEOUS<<BIN>>","CK-9005",40043,"CK","Chinook","19","EVI","GStr",7,0.119202922022118,4,NA,NA
"CK40053","Goldstream River Chinook","EAST VANCOUVER ISLAND-GOLDSTREAM_FA_0.x","CK-21",40053,"CK","Chinook","19","EVI","GStr",2.61904761904762,0.731058578630005,21,NA,"Vancouver Island & Mainland Inlets"
"CK40063","Tod Creek (Victoria/Saanich) Chinook Run 1","EAST VANCOUVER ISLAND-GOLDSTREAM_FA_0.x","CK-21",40063,"CK","Chinook","19","EVI","GStr",7,0.119202922022118,1,NA,"Vancouver Island & Mainland Inlets"
"CK40133","Ayum Creek (Sooke) Chinook Run 1","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40133,"CK","Chinook","20","WVI","WVI",7,0.119202922022118,1,NA,"Vancouver Island & Mainland Inlets"
"CK40153","Sooke River Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40153,"CK","Chinook","20","WVI","WVI",4,0.880797077977882,17,NA,"Vancouver Island & Mainland Inlets"
"CK40163","De Mamiel Creek Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40163,"CK","Chinook","20","WVI","WVI",5,0.119202922022118,17,NA,"Vancouver Island & Mainland Inlets"
"CK40173","Rocky Creek Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40173,"CK","Chinook","20","WVI","WVI",6.66666666666667,0.119202922022118,5,NA,"Vancouver Island & Mainland Inlets"
"CK40183","Charters River Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40183,"CK","Chinook","20","WVI","WVI",6.33333333333333,0.119202922022118,4,NA,"Vancouver Island & Mainland Inlets"
"CK40253","San Juan River Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40253,"CK","Chinook","20","WVI","WVI",4.21052631578947,0.982013790037908,24,NA,"Vancouver Island & Mainland Inlets"
"CK40283","Renfrew Creek Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40283,"CK","Chinook","20","WVI","WVI",5.33333333333333,0.119202922022118,12,NA,"Vancouver Island & Mainland Inlets"
"CK40293","Harris Creek Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40293,"CK","Chinook","20","WVI","WVI",5.09090909090909,0.119202922022118,18,NA,"Vancouver Island & Mainland Inlets"
"CK40313","Lens Creek (Sooke) Chinook Run 1","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40313,"CK","Chinook","20","WVI","WVI",5,0.119202922022118,7,NA,"Vancouver Island & Mainland Inlets"
"CK40323","Gordon River Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40323,"CK","Chinook","20","WVI","WVI",5.14285714285714,0.119202922022118,53,NA,"Vancouver Island & Mainland Inlets"
"CK40363","Nitinat River Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40363,"CK","Chinook","22","WVI","WVI",3.52631578947368,0.982013790037908,24,NA,"Vancouver Island & Mainland Inlets"
"CK40373","Doobah Creek Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40373,"CK","Chinook","22","WVI","WVI",1,0.982013790037908,1,NA,"Vancouver Island & Mainland Inlets"
"CK40398","Caycuse River Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40398,"CK","Chinook","22","WVI","WVI",5,0.119202922022118,7,NA,"Vancouver Island & Mainland Inlets"
"CK40408","Campus Creek Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40408,"CK","Chinook","22","WVI","WVI",7,0.119202922022118,1,NA,"Vancouver Island & Mainland Inlets"
"CK40418","Klanawa River Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40418,"CK","Chinook","21","WVI","WVI",5.625,0.119202922022118,10,NA,"Vancouver Island & Mainland Inlets"
"CK40438","Sugsaw Creek Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40438,"CK","Chinook","23","WVI","WVI",6.25,0.119202922022118,5,NA,"Vancouver Island & Mainland Inlets"
"CK40458","Sarita River Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40458,"CK","Chinook","23","WVI","WVI",3.5,0.982013790037908,27,NA,"Vancouver Island & Mainland Inlets"
"CK40478","Carnation Creek (Port Alberni) Chinook Run 1","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40478,"CK","Chinook","23","WVI","WVI",5,0.119202922022118,4,NA,"Vancouver Island & Mainland Inlets"
"CK40488","Consinka Creek Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40488,"CK","Chinook","23","WVI","WVI",6,0.119202922022118,2,NA,"Vancouver Island & Mainland Inlets"
"CK40508","Coleman Creek (Port Alberni) Chinook Run 1","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40508,"CK","Chinook","23","WVI","WVI",7,0.119202922022118,1,NA,"Vancouver Island & Mainland Inlets"
"CK40518","Franklin River Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40518,"CK","Chinook","23","WVI","WVI",6,0.119202922022118,23,NA,"Vancouver Island & Mainland Inlets"
"CK40528","China Creek (Port Alberni) Chinook Run 1","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40528,"CK","Chinook","23","WVI","WVI",7,0.119202922022118,12,NA,"Vancouver Island & Mainland Inlets"
"CK40548","Somass River Chinook Run 1","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40548,"CK","Chinook","23","WVI","WVI",4.5,0.5,5,NA,"Vancouver Island & Mainland Inlets"
"CK40549","Somass River Chinook Run 2","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40549,"CK","Chinook","23","WVI","WVI",7,0.119202922022118,1,NA,"Vancouver Island & Mainland Inlets"
"CK40569","Deer Creek (Port Alberni) Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40569,"CK","Chinook","23","WVI","WVI",7,0.119202922022118,1,NA,"Vancouver Island & Mainland Inlets"
"CK40583","Drinkwater Creek Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40583,"CK","Chinook","23","WVI","WVI",1,0.982013790037908,1,NA,"Vancouver Island & Mainland Inlets"
"CK40593","Cous Creek Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40593,"CK","Chinook","23","WVI","WVI",6,0.119202922022118,17,NA,"Vancouver Island & Mainland Inlets"
"CK40608","Macktush Creek Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40608,"CK","Chinook","23","WVI","WVI",6,0.119202922022118,6,NA,"Vancouver Island & Mainland Inlets"
"CK40618","Nahmint River Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40618,"CK","Chinook","23","WVI","WVI",3.36363636363636,0.119202922022118,27,NA,"Vancouver Island & Mainland Inlets"
"CK40638","Snug Basin Creek (Port Alberni) Chinook Run 1","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40638,"CK","Chinook","23","WVI","WVI",7,0.119202922022118,2,NA,"Vancouver Island & Mainland Inlets"
"CK40648","Henderson Lake Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40648,"CK","Chinook","23","WVI","WVI",7,0.119202922022118,31,NA,"Vancouver Island & Mainland Inlets"
"CK40658","Uchuck Creek Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40658,"CK","Chinook","23","WVI","WVI",7,0.119202922022118,2,NA,"Vancouver Island & Mainland Inlets"
"CK40698","Coeur D'Alene Creek Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40698,"CK","Chinook","23","WVI","WVI",6,0.119202922022118,13,NA,"Vancouver Island & Mainland Inlets"
"CK40708","Effingham River Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40708,"CK","Chinook","23","WVI","WVI",4.4,0.119202922022118,29,NA,"Vancouver Island & Mainland Inlets"
"CK40718","Wallace Creek Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40718,"CK","Chinook","23","WVI","WVI",7,0.119202922022118,4,NA,"Vancouver Island & Mainland Inlets"
"CK40728","Canoe Pass Creek (Port Alberni) Chinook Run 1","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40728,"CK","Chinook","23","WVI","WVI",7,0.119202922022118,1,NA,"Vancouver Island & Mainland Inlets"
"CK40768","Cataract Creek (Port Alberni) Chinook Run 1","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40768,"CK","Chinook","23","WVI","WVI",7,0.119202922022118,1,NA,"Vancouver Island & Mainland Inlets"
"CK40778","Pipesteam Creek (Port Alberni) Chinook Run 1","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40778,"CK","Chinook","23","WVI","WVI",7,0.119202922022118,1,NA,"Vancouver Island & Mainland Inlets"
"CK40788","Lucky Creek Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40788,"CK","Chinook","23","WVI","WVI",7,0.119202922022118,1,NA,"Vancouver Island & Mainland Inlets"
"CK40798","Toquart River Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40798,"CK","Chinook","23","WVI","WVI",4.41176470588235,0.119202922022118,22,NA,"Vancouver Island & Mainland Inlets"
"CK40808","Thornton Creek Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40808,"CK","Chinook","23","WVI","WVI",5.375,0.119202922022118,13,NA,"Vancouver Island & Mainland Inlets"
"CK40818","Smith Creek Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40818,"CK","Chinook","23","WVI","WVI",6,0.119202922022118,9,NA,"Vancouver Island & Mainland Inlets"
"CK40868","Kauwinch River Chinook","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",40868,"CK","Chinook","26","WVI","WVI",4.46153846153846,0.119202922022118,46,NA,"Vancouver Island & Mainland Inlets"
"CK40878","Kashutl River Chinook","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",40878,"CK","Chinook","26","WVI","WVI",5.33333333333333,0.119202922022118,23,NA,"Vancouver Island & Mainland Inlets"
"CK40888","Easy Creek Chinook","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",40888,"CK","Chinook","26","WVI","WVI",4.71428571428571,0.119202922022118,19,NA,"Vancouver Island & Mainland Inlets"
"CK40898","Elaine Creek (Kyuquot) Chinook Run 1","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",40898,"CK","Chinook","26","WVI","WVI",7,0.119202922022118,3,NA,"Vancouver Island & Mainland Inlets"
"CK40964","Naden River (Masset) Chinook","HAIDA GWAII-NORTH","CK-43",40964,"CK","Chinook","1","HG","NQCI",7,0.119202922022118,2,NA,"Haida Gwaii"
"CK41024","Yakoun River (Masset) Chinook","HAIDA GWAII-NORTH","CK-43",41024,"CK","Chinook","1","HG","NQCI",3.8,0.119202922022118,48,NA,"Haida Gwaii"
"CK41123","Moyeha River Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",41123,"CK","Chinook","24","WVI","WVI",3.85,0.119202922022118,25,NA,"Vancouver Island & Mainland Inlets"
"CK41133","Atleo River Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",41133,"CK","Chinook","24","WVI","WVI",6,0.119202922022118,4,NA,"Vancouver Island & Mainland Inlets"
"CK41168","Watta Creek Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",41168,"CK","Chinook","24","WVI","WVI",6,0.119202922022118,32,NA,"Vancouver Island & Mainland Inlets"
"CK41178","Megin River Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",41178,"CK","Chinook","24","WVI","WVI",4.28571428571429,0.119202922022118,26,NA,"Vancouver Island & Mainland Inlets"
"CK41198","Ice River Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",41198,"CK","Chinook","24","WVI","WVI",6,0.119202922022118,26,NA,"Vancouver Island & Mainland Inlets"
"CK41208","Sydney River Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",41208,"CK","Chinook","24","WVI","WVI",6,0.119202922022118,37,NA,"Vancouver Island & Mainland Inlets"
"CK41288","Mooyah River Chinook","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",41288,"CK","Chinook","25","WVI","WVI",4.27272727272727,0.119202922022118,37,NA,"Vancouver Island & Mainland Inlets"
"CK41298","Silverado Creek (Tahsis) Chinook Run 1","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",41298,"CK","Chinook","25","WVI","WVI",7,0.119202922022118,7,NA,"Vancouver Island & Mainland Inlets"
"CK41308","Houston River (Tahsis) Chinook Run 1","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",41308,"CK","Chinook","25","WVI","WVI",7,0.119202922022118,1,NA,"Vancouver Island & Mainland Inlets"
"CK41318","Jacklah River Chinook","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",41318,"CK","Chinook","25","WVI","WVI",7,0.119202922022118,23,NA,"Vancouver Island & Mainland Inlets"
"CK41328","Burman River Chinook","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",41328,"CK","Chinook","25","WVI","WVI",3.27272727272727,0.119202922022118,27,NA,"Vancouver Island & Mainland Inlets"
"CK41348","Gold River Chinook","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",41348,"CK","Chinook","25","WVI","WVI",5.36363636363636,0.119202922022118,23,NA,"Vancouver Island & Mainland Inlets"
