"","POPULATION","CU_NAME","FULL_CU_IN","POP_ID","SPECIES_QUALIFIED","SPECIES","AREA","FAZ","MAZ","StreamOrder","QUALITY","weight","nYears","forestDD","trend1","trend2","trend3","trend4","trend5","region","spawnEco","rearEco","AgriculturePCT","UrbanPCT","RIPDSTPCT","Linear_Dev_noRoads","ForestRoadsDEN_km_km2","NonForestRoadsDEN_km_km2","STRMXDEN","FORDST_PCT","ECAPCT","MPB_pct","WATER_LIC","WWD_count"
"CK39678","Ououkinsh River Chinook","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",39678,"CK","Chinook","26","WVI","WVI",4,5,0.119202922022118,25,0,-0.0484049532228418,-0.0484049532228418,-0.0612517058970708,NA,NA,"SCVI","Chinook","ChinookOcean",0,0,20.18702916,0,0.201033169,1.327166279,0.372790379,23.83465796,11.96334975,0,0,0
"CK39688","Power River Chinook","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",39688,"CK","Chinook","26","WVI","WVI",5,7,0.119202922022118,31,0,-0.0553824891547418,-0.0553824891547418,-0.055382489154743,NA,NA,"SCVI","Chinook","ChinookOcean",0,0,0,0,0,0,0,0,0.149174096,0,0,0
"CK39698","Battle Bay River (Kyuquot) Chinook Run 1","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",39698,"CK","Chinook","26","WVI","WVI",4,7,0.119202922022118,14,0,-0.00131907532107084,-0.00131907532107085,-0.00131907532107094,NA,NA,"SCVI","Chinook","ChinookOcean",0,0,0,0,0,0,0,0.000999105,4.99535e-05,0,0,0
"CK39738","East Creek (Quatsino Sound) Chinook Run 1","WEST VANCOUVER ISLAND-NORTH_FA_0.x","CK-33",39738,"CK","Chinook","27","WVI","WQCI",4,7,0.119202922022118,28,0,-0.00828290835409168,-0.00828290835409169,-0.00828290835409082,NA,NA,"SCVI","Chinook","ChinookOcean",0,0,5.09307567,0,1.048123113,0.790852364,0.22356512,7.47289483,14.89000757,0,0,0
"CK39748","Klaskish River (Quatsino Sound) Chinook Run 1","WEST VANCOUVER ISLAND-NORTH_FA_0.x","CK-33",39748,"CK","Chinook","27","WVI","WQCI",4,7,0.119202922022118,28,0,-0.0161215102235011,-0.0161215102235011,-0.0161215102235011,-0.0580567903232631,NA,"SCVI","Chinook","ChinookOcean",0,0,16.82699854,0,1.6123876,1.157160982,0.472941742,18.9914679,20.70611838,0,0,0
"CK39908","Cayeghle Creek Chinook","WEST VANCOUVER ISLAND-NORTH_FA_0.x","CK-33",39908,"CK","Chinook","27","WVI","WQCI",5,3.57142857142857,0.119202922022118,29,0,0.0417539359867077,0.0416169377254494,0.0400192645998716,0.0466419241645612,-0.0653435876951213,"SCVI","Chinook","ChinookOcean",0,0,10.39581418,0,0.551569182,1.760524848,0.14286402,11.66454171,18.98746376,0,0,0
"CK39918","Colonial Creek Chinook","WEST VANCOUVER ISLAND-NORTH_FA_0.x","CK-33",39918,"CK","Chinook","27","WVI","WQCI",5,3.25,0.119202922022118,18,0,0.00261770151874567,0.00256902906384159,0.0185782972586721,0.108728971701027,NA,"SCVI","Chinook","ChinookOcean",0,0,10.39581418,0,0.551569182,1.760524848,0.14286402,11.66454171,18.98746376,0,0,0
"CK39958","Marble River Chinook","WEST VANCOUVER ISLAND-NORTH_FA_0.x","CK-33",39958,"CK","Chinook","27","WVI","WQCI",7,4.35,0.5,24,0,-0.0140042205858736,-0.0124295852340373,-0.00835993763649071,-0.0124295852340373,-0.00399172985967447,"SCVI","Chinook","ChinookOcean",0,0,9.54531684,0,0.38539173,1.941132543,0.553711809,6.678437719,10.79159508,0,1,0
"CK40024","Cowichan River Fall Chinook","EAST VANCOUVER ISLAND-COWICHAN & KOKSILAH_FA_0.x","CK-22",40024,"CK","Chinook","18","EVI","GStr",7,1.66666666666667,0.982013790037908,29,1,-0.0349345109736532,-0.0348982154701774,-0.0350468973106581,-0.0348982154701774,0.0229778821790101,"SCVI","Chinook","ChinookOcean",2.938894212,3.906299602,16.3666625,0.104397018,0.031263989,3.482353624,0.675006189,6.914717063,11.42465118,0,27,13
"CK40033","Koksilah River Chinook","EAST VANCOUVER ISLAND-COWICHAN & KOKSILAH_FA_0.x","CK-22",40033,"CK","Chinook","18","EVI","GStr",6,4,0.119202922022118,41,1,-0.0150431141830972,-0.0150431141830972,-0.0442514049973818,NA,NA,"SCVI","Chinook","ChinookOcean",15.63459956,5.956357656,21.71147787,0.234161664,0.069909161,4.605714613,1.24259516,4.122425149,16.37688676,0,160,2
"CK40153","Sooke River Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40153,"CK","Chinook","20","WVI","WVI",5,4,0.880797077977882,16,0,-0.0317998439534591,-0.0321305095871228,-0.0326744277580383,-0.0321305095871228,-0.0273610164401202,"SCVI","Chinook","ChinookOcean",0.062136436,2.021517593,7.520218476,0.044158308,0,1.866706237,0.637201938,0.394676446,4.927375453,0,29,4
"CK40163","De Mamiel Creek Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40163,"CK","Chinook","20","WVI","WVI",4,5,0.119202922022118,17,1,0.0349372476168355,0.0309550734947354,0.052797695076331,0.0747405390116318,NA,"SCVI","Chinook","ChinookOcean",0.066834693,4.011909411,7.778694817,0.34211945,0.001600677,2.567277049,1.049641345,1.002472963,8.517665685,0,31,0
"CK40253","San Juan River Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40253,"CK","Chinook","20","WVI","WVI",6,4.27777777777778,0.982013790037908,23,0,0.0206038040199714,0.0135605050859538,0.0145274346374441,0.0135605050859538,-0.00347032030389146,"SCVI","Chinook","ChinookOcean",0,0.172695908,5.976977831,0.000129242,0.272816734,2.361799958,0.261452953,6.74890366,12.83824177,0,4,0
"CK40283","Renfrew Creek Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40283,"CK","Chinook","20","WVI","WVI",4,5.33333333333333,0.119202922022118,12,0,-0.0861723052658769,-0.0860214273018846,-0.124855449620427,-0.0860214273018846,NA,"SCVI","Chinook","ChinookOcean",0,0,7.441948117,0,0.590023675,2.228188577,0.303086467,15.84364799,24.63473892,0,3,0
"CK40293","Harris Creek Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40293,"CK","Chinook","20","WVI","WVI",6,5.09090909090909,0.119202922022118,18,0,-0.00944256671305518,-0.00895060443775259,-0.00189173010519076,0.00157947532328548,0.0199291059600174,"SCVI","Chinook","ChinookOcean",0,0.172695908,5.976977831,0.000129242,0.272816734,2.361799958,0.261452953,6.74890366,12.83824177,0,4,0
"CK40323","Gordon River Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40323,"CK","Chinook","20","WVI","WVI",5,5.14285714285714,0.119202922022118,53,0,-0.0537495982465325,-0.052372556865655,-0.0473008635559865,-0.0733645584108772,NA,"SCVI","Chinook","ChinookOcean",0,0.571932539,9.513857936,0.005950809,0.203367308,2.917777406,0.294578366,9.801736545,16.21030798,0,0,0
"CK40363","Nitinat River Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40363,"CK","Chinook","22","WVI","WVI",7,3.52631578947368,0.982013790037908,24,0,-0.00716215961750317,-0.00445601480747986,-0.00449015132747879,-0.00445601480747986,0.00700295343620214,"SCVI","Chinook","ChinookOcean",0,0,5.256241649,0.267833977,0.120922642,1.360021021,0.160262767,8.370237922,12.03587453,0,0,0
"CK40418","Klanawa River Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40418,"CK","Chinook","21","WVI","WVI",6,5.625,0.119202922022118,10,0,-0.0669742100784477,-0.0693955240200711,-0.0596658709127994,NA,NA,"SCVI","Chinook","ChinookOcean",0,0,17.27923766,0.00814631,0.452693142,2.688423779,0.309648161,32.89122434,33.45420846,0,0,0
"CK40458","Sarita River Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40458,"CK","Chinook","23","WVI","WVI",5,3.55,0.982013790037908,25,0,0.0564829080313831,0.0581371582094698,0.0620830813580039,0.0581371582094698,0.0153644480659037,"SCVI","Chinook","ChinookOcean",0,0,8.391648382,0,0.113622939,2.403622553,0.561186978,6.31395908,25.8599611,0,3,0
"CK40518","Franklin River Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40518,"CK","Chinook","23","WVI","WVI",5,6,0.119202922022118,23,0,-0.0392676032607661,-0.0406296553757931,-0.0457286201450756,NA,NA,"SCVI","Chinook","ChinookOcean",0,0.005889483,8.848763607,0,0.130757583,3.270300472,0.337408038,11.51135193,19.27077413,0,1,0
"CK40528","China Creek (Port Alberni) Chinook Run 1","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40528,"CK","Chinook","23","WVI","WVI",4,7,0.119202922022118,12,1,-0.0272587511028681,-0.0272587511028682,-0.0272587511028687,NA,NA,"SCVI","Chinook","ChinookOcean",0,0.037142549,3.863754279,0.106925904,0.003466949,2.774039767,0.374728803,1.50075764,6.499563083,0,7,0
"CK40593","Cous Creek Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40593,"CK","Chinook","23","WVI","WVI",5,6,0.119202922022118,17,0,-0.0679314782700003,-0.0679314782700003,-0.0689114243299468,NA,NA,"SCVI","Chinook","ChinookOcean",0,0,5.064946889,0,0.111533367,2.791882426,0.082269125,5.349857658,9.449976266,0,0,0
"CK40648","Henderson Lake Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40648,"CK","Chinook","23","WVI","WVI",5,7,0.119202922022118,31,0,-0.0907020385783103,-0.0907020385783103,-0.0907020385783125,NA,NA,"SCVI","Chinook","ChinookOcean",0,0,8.704554792,0,0.085993279,1.044245091,0.039314534,9.421922589,9.096943613,0,5,0
"CK40698","Coeur D'Alene Creek Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40698,"CK","Chinook","23","WVI","WVI",3,6,0.119202922022118,13,0,-0.00280584532578296,-0.00280584532578298,-0.00915614911203634,NA,NA,"SCVI","Chinook","ChinookOcean",0,0,11.20517245,0,0.047167204,1.784957503,0,16.91357168,11.52719189,0,0,0
"CK40708","Effingham River Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",40708,"CK","Chinook","23","WVI","WVI",4,4.33333333333333,0.119202922022118,27,0,-0.00200241687369212,-0.00285141536237492,0.00401251800233395,NA,NA,"SCVI","Chinook","ChinookOcean",0,0,17.6684558,0.193063479,0.156474104,0.330478614,0.21657701,12.29432103,2.764176172,0,0,0
"CK40868","Kauwinch River Chinook","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",40868,"CK","Chinook","26","WVI","WVI",5,4.36363636363636,0.119202922022118,44,0,-0.034169818549212,-0.0334321242900195,-0.0213600923955995,0.00432598510469631,0.117473096405714,"SCVI","Chinook","ChinookOcean",0,0,19.24174034,0,0.099986049,0.923716368,0.499937064,17.26257575,7.467517277,0,0,0
"CK40878","Kashutl River Chinook","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",40878,"CK","Chinook","26","WVI","WVI",4,5.4,0.119202922022118,22,0,-0.0499977994926614,-0.0499977994926614,-0.0619632513858019,-0.142054614163609,NA,"SCVI","Chinook","ChinookOcean",0,0,27.79215641,0,0.346114945,1.545581622,0.240943067,26.66515312,12.50584602,0,0,0
"CK40888","Easy Creek Chinook","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",40888,"CK","Chinook","26","WVI","WVI",4,4.6,0.119202922022118,17,0,-0.014349263490832,-0.0144055549223221,-0.00613847166395118,-0.000702104979340793,NA,"SCVI","Chinook","ChinookOcean",0,0.359063071,61.61508837,0,0.168603352,1.877333143,0.591817787,46.71992094,10.18601274,0,11,0
"CK41024","Yakoun River (Masset) Chinook","HAIDA GWAII-NORTH","CK-43",41024,"CK","Chinook","1","HG","NQCI",5,3.8,0.119202922022118,58,0,0.00245169876858754,0.00282172997361235,0.0138281962794056,0.0797115040468192,NA,"Haida Gwaii","Chinook","ChinookStream",0,0,10.68562034,0.082791959,0.586254502,0.889985034,0.313071945,21.04005956,8.629235488,0,0,0
"CK41123","Moyeha River Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",41123,"CK","Chinook","24","WVI","WVI",6,3.77777777777778,0.119202922022118,23,0,-0.0416835136248144,-0.0441451253993138,-0.0447017658543149,-0.0441451253993138,-0.0557229251153307,"SCVI","Chinook","ChinookOcean",0,0,0.175825843,0,0,0.027451318,0,0,0.024878268,0,0,0
"CK41168","Watta Creek Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",41168,"CK","Chinook","24","WVI","WVI",5,6,0.119202922022118,31,0,-0.0553670211690282,-0.0553670211690282,-0.0537892502534979,NA,NA,"SCVI","Chinook","ChinookOcean",0,0,0.037218122,0,0,0.059809121,0,0,0.05668014,0,0,0
"CK41178","Megin River Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",41178,"CK","Chinook","24","WVI","WVI",6,4.21052631578947,0.119202922022118,24,0,-0.101299537476935,-0.0909103598468779,-0.0857475033000391,-0.0909103598468779,-0.0462474353443819,"SCVI","Chinook","ChinookOcean",0,0,0.001475322,0,0,0.029398973,0,0,0.023539793,0,0,0
"CK41198","Ice River Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",41198,"CK","Chinook","24","WVI","WVI",3,6,0.119202922022118,26,0,-0.059538205368178,-0.059538205368178,-0.0580729807299433,NA,NA,"SCVI","Chinook","ChinookOcean",0,0,0,0,0,0,0,0,0.017029152,0,0,0
"CK41208","Sydney River Chinook","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","CK-31",41208,"CK","Chinook","24","WVI","WVI",4,6,0.119202922022118,37,0,-0.0824714724036247,-0.0824714724036247,-0.076616315785062,-0.0336944897095405,NA,"SCVI","Chinook","ChinookOcean",0,0,0,0,0,0,0,0,0,0,0,0
"CK41288","Mooyah River Chinook","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",41288,"CK","Chinook","25","WVI","WVI",4,4.27272727272727,0.119202922022118,37,0,-0.0498116766719755,-0.0496500655320636,-0.0426312045627968,-0.0148068305443193,-0.179274770910732,"SCVI","Chinook","ChinookOcean",0,0,42.47263124,0,0.085409407,2.066049464,0.667875931,42.77636495,17.9090716,0,0,0
"CK41318","Jacklah River Chinook","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",41318,"CK","Chinook","25","WVI","WVI",4,7,0.119202922022118,23,0,-0.0179968419859418,-0.0179968419859418,-0.0179968419859419,NA,NA,"SCVI","Chinook","ChinookOcean",0,0,8.690485865,0,0.131551401,0.98293951,0.187657305,8.848360941,8.129006148,0,0,0
"CK41393","Kleeptee Creek Chinook","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",41393,"CK","Chinook","25","WVI","WVI",4,4.9,0.119202922022118,31,0,0.00135240950455353,0.00150131911048214,0.00769988683991883,0.0442253200656626,-0.125409964710661,"SCVI","Chinook","ChinookOcean",0,0,20.5600536,0,0.262943518,2.228764219,0.760748173,29.63662049,27.49340136,0,0,0
"CK41448","Canton Creek Chinook","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",41448,"CK","Chinook","25","WVI","WVI",2,3.7,0.119202922022118,46,0,0.030749544387135,0.0298952170600195,0.0373278349936042,0.0648716753989285,0.13035522320338,"SCVI","Chinook","ChinookOcean",0,0.255692794,15.32237234,0,0.257425948,1.839198715,0.744271999,16.95735293,15.857597,0,0,2
"CK41468","Deserted Creek Chinook","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",41468,"CK","Chinook","25","WVI","WVI",4,3,0.119202922022118,27,0,-0.0798905904127702,-0.0798905904127702,-0.105843676832365,NA,NA,"SCVI","Chinook","ChinookOcean",0,0,19.89169458,0,0.298168561,2.144052098,0.841720832,27.19925851,18.88802018,0,2,2
"CK41478","Hoiss Creek Chinook","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",41478,"CK","Chinook","25","WVI","WVI",4,5.14285714285714,0.119202922022118,14,0,-0.0397013116151411,-0.0387797759734701,-0.0317375598174914,NA,NA,"SCVI","Chinook","ChinookOcean",0,0,19.89169458,0,0.298168561,2.144052098,0.841720832,27.19925851,18.88802018,0,2,2
"CK41488","Tsowwin River Chinook","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",41488,"CK","Chinook","25","WVI","WVI",4,3.88888888888889,0.119202922022118,42,0,-0.0648779708603479,-0.0637166998509588,-0.0610003547143419,-0.022704987232264,NA,"SCVI","Chinook","ChinookOcean",0,0,9.048828047,0.058910044,0.073341162,2.105859696,0.094797325,13.36594557,12.89410208,0,0,0
"CK41683","Little Zeballos River Chinook","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",41683,"CK","Chinook","25","WVI","WVI",4,4.125,0.119202922022118,42,0,-0.0165814633352583,-0.015912635275788,-0.0148403424751741,-0.0103376662681856,0.0397400666132124,"SCVI","Chinook","ChinookOcean",0,0.153968555,45.79060154,0,0,0.986252925,0.343080165,36.98432979,6.589728681,0,0,0
"CK41743","Espinosa Creek Chinook","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",41743,"CK","Chinook","25","WVI","WVI",4,5.16666666666667,0.119202922022118,32,0,-0.0481049295714096,-0.0484787423739711,-0.0522641902830946,-0.0719965023103959,-0.196164328458921,"SCVI","Chinook","ChinookOcean",0,0.14076167,8.835601124,0,0.138590662,1.521919705,0,10.62100926,13.681765,0,0,0
"CK41753","Chum Creek Chinook","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",41753,"CK","Chinook","25","WVI","WVI",4,5.33333333333333,0.119202922022118,12,0,-0.0271966031601973,-0.0272696560698987,-0.0282665219632939,NA,NA,"SCVI","Chinook","ChinookOcean",0,0.098316964,41.61753574,0,0.265551964,2.026572525,0.652471757,39.95572555,21.28508726,0,15,0
"CK41763","Park River Chinook","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",41763,"CK","Chinook","25","WVI","WVI",4,6,0.119202922022118,20,0,-0.0674693506871438,-0.0674693506871438,-0.0717175925620053,NA,NA,"SCVI","Chinook","ChinookOcean",0,0.098316964,41.61753574,0,0.265551964,2.026572525,0.652471757,39.95572555,21.28508726,0,15,0
"CK41833","Narrowgut Creek Chinook","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",41833,"CK","Chinook","26","WVI","WVI",4,6,0.119202922022118,17,0,-0.0526079471716022,-0.0526079471716022,-0.0566529933226495,NA,NA,"SCVI","Chinook","ChinookOcean",0,0,25.65901905,0,0.051308056,1.424583728,0,25.58291409,16.50447254,0,0,0
"CK41843","Amai Creek Chinook","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",41843,"CK","Chinook","26","WVI","WVI",3,5.5,0.119202922022118,15,0,-0.0369101073633552,-0.0369101073633552,-0.0462437135149347,NA,NA,"SCVI","Chinook","ChinookOcean",0,0.019265326,40.81222164,0,0.077814067,1.3580253,0.501434529,30.96188263,9.740578932,0,4,0
"CK41863","Kaouk River Chinook","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",41863,"CK","Chinook","26","WVI","WVI",5,3.5,0.119202922022118,25,0,-0.00795004073164881,-0.0109458564474543,-0.0140218680601701,-0.0109458564474543,-0.0104740242971134,"SCVI","Chinook","ChinookOcean",0,0,45.54297442,0,0.054472216,1.778708848,0.444173854,46.58549545,10.85425335,0,0,0
"CK41873","Artlish River Chinook","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",41873,"CK","Chinook","26","WVI","WVI",5,3.35,0.119202922022118,25,0,0.0369754248302053,0.0369322552280379,0.0304813463283266,0.0369322552280379,0.0292855400113144,"SCVI","Chinook","ChinookOcean",0,0,18.204546,0,0.249206265,1.287283348,0.322729165,21.3215145,7.784323225,0,0,0
"CK41883","Tahsish River Chinook","WEST VANCOUVER ISLAND-NOOTKA & KYUQUOT_FA_0.x","CK-32",41883,"CK","Chinook","26","WVI","WVI",6,3.75,0.119202922022118,25,0,-0.00325149685494499,-0.00203531765798266,0.00552454586863075,-0.00203531765798266,0.0239475021424202,"SCVI","Chinook","ChinookOcean",0,0,24.48026906,0,0.303162681,1.557064954,0.317453049,25.58585027,18.10677683,0,0,0
