"MAP_LABEL","GFE_ID","SYSTEM_SITE","GFE_TYPE","SPECIES_QUALIFIED","Y_LAT","X_LONGT","FAZ_ACRO","MAZ_ACRO","JAZ_ACRO","CU_NAME","CU_ACRO","CU_LAT","CU_LONGT","CU_TYPE","CU_INDEX","FULL_CU_IN","SBJ_ID","POP_ID","IS_INDICATOR","CMNTS","EFFECTIVE_DT","WATERSHED_CDE","FWA_WATERSHED_CDE"
8,768,"CARLSON CREEK","Stream","PKE","49.542565727","-123.802272279","SC","GStr","SC+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,48758,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"900-162600-00000-00000-0000-0000-000-000-000-000-000-000","900-165880-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
9,2819,"CASEY CREEK","Stream","PKE","50.070772245","-125.288921549","EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,3329,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"920-633400-00000-00000-0000-0000-000-000-000-000-000-000","920-631984-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
10,760,"CHAPMAN CREEK","Stream","PKE","49.439923716","-123.723047806","SC","GStr","SC+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,48668,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"900-120400-00000-00000-0000-0000-000-000-000-000-000-000","900-127577-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
11,1204,"CHEMAINUS RIVER","Stream","PKE","48.900156714","-123.678442066","EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,39979,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"920-303500-00000-00000-0000-0000-000-000-000-000-000-000","920-302830-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
12,1208,"COWICHAN RIVER","Stream","PKE","48.753551115","-123.637015461","EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,40019,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2013-08-14,"920-257700-00000-00000-0000-0000-000-000-000-000-000-000","920-252823-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
13,780,"DESERTED RIVER","Stream","PKE","50.092652395","-123.741979172","SC","GStr","SC+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,48878,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"900-220600-00000-00000-0000-0000-000-000-000-000-000-000","900-223912-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
14,1135,"DREW CREEK","Stream","PKE","50.088721673","-125.192098131","SC","GStr","SC+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,52854,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"905-291000-89600-00000-0000-0000-000-000-000-000-000-000","905-405793-902265-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
15,1184,"ENGLISHMAN RIVER","Stream","PKE","49.329110198","-124.295000853","EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,51414,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"920-462800-00000-00000-0000-0000-000-000-000-000-000-000","920-470275-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
16,804,"FORBES BAY CREEK","Stream","PKE","50.27443205","-124.62122469","SC","GStr","SC+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,49118,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"900-333800-00000-00000-0000-0000-000-000-000-000-000-000","900-336002-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
17,1183,"FRENCH CREEK","Stream","PKE","49.348512815","-124.364205376","EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,51404,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"920-470700-00000-00000-0000-0000-000-000-000-000-000-000","920-479504-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
18,1211,"GOLDSTREAM RIVER","Stream","PKE","48.484573515","-123.547893005","EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,40049,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2013-08-14,"920-211900-00000-00000-0000-0000-000-000-000-000-000-000","920-209673-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
19,773,"GRAY CREEK","Stream","PKE","49.539243234","-123.764675393","SC","GStr","SC+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,48808,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"900-168400-00000-00000-0000-0000-000-000-000-000-000-000","900-171722-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
20,398,"HEADQUARTERS CREEK","Stream","PKE","49.767230501","-125.118746399","EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,45851,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"920-553200-94100-43300-0000-0000-000-000-000-000-000-000","920-559826-998276-408148-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
21,1201,"HOLLAND CREEK","Stream","PKE","48.980852607","-123.804862861","EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,51584,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"920-321500-00000-00000-0000-0000-000-000-000-000-000-000","920-322181-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
22,1134,"HYACINTHE CREEK","Stream","PKE","50.129743657","-125.238986364","SC","GStr","SC+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,52844,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"905-291000-84800-00000-0000-0000-000-000-000-000-000-000","905-405793-854178-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
23,688,"INDIAN RIVER","Stream","PKE","49.464691484","-122.882269344","SC","GStr","SC+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,49826,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"900-056000-00000-00000-0000-0000-000-000-000-000-000-000","900-068008-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
24,788,"JEFFERD CREEK","Stream","PKE","49.774513914","-124.280121931","SC","GStr","SC+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,48958,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"900-272400-00000-00000-0000-0000-000-000-000-000-000-000","900-275764-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
25,1228,"JORDAN RIVER","Stream","PKE","48.422606222","-124.054665342","WVI","WVI","WVI+WVI","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,40219,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-037300-00000-00000-0000-0000-000-000-000-000-000-000","930-038943-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
26,793,"KELLY CREEK","Stream","PKE","49.774433124","-124.376496257","SC","GStr","SC+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,49008,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"900-278600-00000-00000-0000-0000-000-000-000-000-000-000","900-282198-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
27,1143,"KINGFISHER CREEK","Stream","PKE","50.038586065","-125.289965578","EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,52934,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"",""
28,809,"KLITE RIVER","Stream","PKE","50.511685307","-124.330162002","SC","GStr","SC+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,50464,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"900-349300-03300-00000-0000-0000-000-000-000-000-000-000","900-350660-051414-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
29,792,"LANG CREEK","Stream","PKE","49.776873147","-124.370715863","SC","GStr","SC+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,48998,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"900-278100-00000-00000-0000-0000-000-000-000-000-000-000","900-281581-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
30,1181,"LITTLE QUALICUM RIVER","Stream","PKE","49.36571315","-124.499756942","EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,51384,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"920-481800-00000-00000-0000-0000-000-000-000-000-000-000","920-490278-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
31,790,"LOIS RIVER","Stream","PKE","49.773441975","-124.330548411","SC","GStr","SC+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,48978,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"900-277000-00000-00000-0000-0000-000-000-000-000-000-000","900-280522-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
32,709,"MAMQUAM RIVER","Stream","PKE","49.732181162","-123.14798002","SC","GStr","SC+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,49931,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"900-097600-05100-00000-0000-0000-000-000-000-000-000-000","900-105574-066486-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
33,1139,"MENZIES CREEK","Stream","PKE","50.138922248","-125.392076231","EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,52894,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"920-646600-00000-00000-0000-0000-000-000-000-000-000-000","920-644562-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
34,1162,"MILLARD CREEK","Stream","PKE","49.668848723","-124.974861608","EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,53124,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"920-551800-00000-00000-0000-0000-000-000-000-000-000-000","920-558488-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
35,1140,"MOHUN CREEK","Stream","PKE","50.112472383","-125.374516646","EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,52904,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"920-643100-00000-00000-0000-0000-000-000-000-000-000-000","920-641351-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
36,1160,"MORRISON CREEK","Stream","PKE","49.690287354","-125.010720422","EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,53104,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"920-553200-94200-04800-0000-0000-000-000-000-000-000-000","920-559826-969359-035884-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
37,1194,"NANAIMO RIVER","Stream","PKE","49.137895337","-123.895778881","EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,51514,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"920-384400-00000-00000-0000-0000-000-000-000-000-000-000","920-388982-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
38,1186,"NANOOSE CREEK","Stream","PKE","49.267382394","-124.191036684","EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,51434,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"920-427200-00000-00000-0000-0000-000-000-000-000-000-000","920-432397-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
39,1178,"NILE CREEK","Stream","PKE","49.419952295","-124.640645756","EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,51354,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"920-494300-00000-00000-0000-0000-000-000-000-000-000-000","920-502507-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
40,1142,"NUNNS CREEK","Stream","PKE","50.040598691","-125.253152997","EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,52924,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"920-626200-00000-00000-0000-0000-000-000-000-000-000-000","920-627155-006272-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
41,799,"OKEOVER CREEK","Stream","PKE","49.962477005","-124.67350071","SC","GStr","SC+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,49068,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"900-303400-00000-00000-0000-0000-000-000-000-000-000-000","900-305975-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
42,1133,"OPEN BAY CREEK","Stream","PKE","50.139526562","-125.220056631","SC","GStr","SC+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,52834,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"905-291000-82400-00000-0000-0000-000-000-000-000-000-000","905-405793-829793-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
43,1149,"OYSTER RIVER","Stream","PKE","49.874217019","-125.113161695","EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,52994,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"920-600400-00000-00000-0000-0000-000-000-000-000-000-000","920-602544-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
44,1156,"PUNTLEDGE RIVER","Stream","PKE","49.696528632","-124.995197783","EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,53064,"Y","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"920-553200-94200-00000-0000-0000-000-000-000-000-000-000","920-559826-969359-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
45,1179,"QUALICUM RIVER","Stream","PKE","49.398840251","-124.609144381","EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,51364,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"920-490700-00000-00000-0000-0000-000-000-000-000-000-000","920-499091-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
46,815,"QUATAM RIVER","Stream","PKE","50.378634476","-124.937433481","SC","GStr","SC+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,50524,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"900-368900-00000-00000-0000-0000-000-000-000-000-000-000","900-369411-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
47,1144,"QUINSAM RIVER","Stream","PKE","50.037646181","-125.294709879","EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,52944,"Y","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"920-627900-03600-00000-0000-0000-000-000-000-000-000-000","920-627155-045026-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
48,1172,"ROSEWALL CREEK","Stream","PKE","49.467123286","-124.777713063","EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,51294,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"920-510600-00000-00000-0000-0000-000-000-000-000-000-000","920-519315-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
49,774,"SECHELT CREEK","Stream","PKE","49.680744942","-123.553954857","SC","GStr","SC+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,48818,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"900-177400-00000-00000-0000-0000-000-000-000-000-000-000","900-180821-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
50,691,"SEYMOUR RIVER","Stream","PKE","49.303041571","-123.025067116","SC","GStr","SC+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,49841,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"900-066100-00000-00000-0000-0000-000-000-000-000-000-000","900-078372-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
51,772,"SHANNON CREEK","Stream","PKE","49.67443476","-123.161242094","SC","GStr","SC+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,48798,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"900-090400-00000-00000-0000-0000-000-000-000-000-000-000","900-102436-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
52,1145,"SIMMS CREEK","Stream","PKE","49.980357081","-125.222999456","EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,52954,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"920-616300-00000-00000-0000-0000-000-000-000-000-000-000","920-617535-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
53,782,"SKWAWKA RIVER","Stream","PKE","50.207881748","-123.988273508","SC","GStr","SC+GStr","GEORGIA STRAIT","GStr","49.7144081155942","-124.418646458348","Current","1","PKE-1",3,48898,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"900-233000-00000-00000-0000-0000-000-000-000-000-000-000","900-236275-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
